date,fronts_700,fronts_850,anticyclone,cyclone,wcb
2001-01-24,1.0,1.0,1.0,1.0,1.0
2001-02-02,1.0,1.0,1.0,0.0,1.0
2001-02-03,1.0,1.0,1.0,0.0,1.0
2001-02-21,1.0,1.0,1.0,1.0,1.0
2001-02-21,1.0,1.0,1.0,1.0,1.0
2001-03-16,1.0,1.0,1.0,1.0,1.0
2002-03-18,1.0,1.0,1.0,0.0,1.0
2002-11-12,1.0,1.0,1.0,0.0,1.0
2002-12-21,1.0,1.0,1.0,1.0,1.0
2002-12-29,1.0,1.0,1.0,1.0,1.0
2003-01-07,1.0,1.0,1.0,1.0,1.0
2003-01-13,1.0,1.0,1.0,1.0,1.0
2003-01-20,1.0,1.0,1.0,1.0,1.0
2003-01-24,1.0,1.0,1.0,1.0,1.0
2003-01-25,1.0,1.0,1.0,1.0,1.0
2003-01-26,1.0,1.0,1.0,1.0,1.0
2003-01-29,1.0,1.0,1.0,1.0,1.0
2003-03-18,1.0,1.0,1.0,1.0,1.0
2003-03-19,1.0,1.0,1.0,1.0,1.0
2004-01-20,1.0,1.0,1.0,0.0,1.0
2004-02-08,1.0,1.0,1.0,1.0,1.0
2004-02-14,1.0,1.0,1.0,1.0,1.0
2004-02-20,1.0,1.0,1.0,0.0,1.0
2004-03-03,1.0,1.0,1.0,0.0,1.0
2004-03-04,1.0,1.0,1.0,0.0,1.0
2004-03-25,1.0,1.0,1.0,0.0,1.0
2004-03-28,1.0,1.0,1.0,1.0,1.0
2004-04-15,1.0,1.0,1.0,1.0,1.0
2005-01-11,1.0,1.0,1.0,0.0,1.0
2005-04-28,1.0,1.0,1.0,0.0,1.0
2005-12-23,1.0,1.0,1.0,0.0,1.0
2005-12-31,1.0,1.0,1.0,1.0,1.0
2006-01-22,1.0,1.0,0.0,1.0,1.0
2006-01-26,1.0,1.0,1.0,0.0,1.0
2006-02-08,1.0,1.0,1.0,1.0,1.0
2006-03-12,1.0,1.0,1.0,0.0,1.0
2006-10-12,1.0,1.0,1.0,0.0,1.0
2006-11-20,1.0,1.0,1.0,1.0,1.0
2006-12-05,1.0,1.0,1.0,0.0,1.0
2006-12-09,1.0,1.0,1.0,1.0,1.0
2006-12-10,1.0,1.0,1.0,1.0,1.0
2006-12-14,1.0,1.0,1.0,1.0,1.0
2006-12-21,1.0,1.0,1.0,0.0,1.0
2006-12-22,1.0,1.0,1.0,0.0,1.0
2007-01-10,1.0,1.0,1.0,0.0,1.0
2007-01-11,1.0,1.0,1.0,1.0,1.0
2007-01-16,1.0,1.0,1.0,0.0,1.0
2007-02-05,1.0,1.0,1.0,1.0,1.0
2007-02-18,1.0,1.0,1.0,0.0,1.0
2007-03-23,1.0,1.0,1.0,0.0,1.0
2007-12-31,1.0,1.0,1.0,0.0,1.0
2008-01-01,1.0,1.0,1.0,1.0,1.0
2008-01-10,1.0,1.0,1.0,1.0,1.0
2008-01-11,1.0,1.0,1.0,0.0,1.0
2008-03-10,1.0,1.0,1.0,0.0,1.0
2008-03-13,1.0,1.0,1.0,0.0,1.0
2008-03-14,1.0,1.0,1.0,0.0,1.0
2008-03-17,1.0,1.0,1.0,0.0,1.0
2009-01-12,1.0,1.0,1.0,0.0,1.0
2009-01-13,1.0,1.0,1.0,1.0,1.0
2009-01-14,1.0,1.0,1.0,1.0,1.0
2009-01-20,1.0,1.0,1.0,1.0,1.0
2009-01-22,1.0,1.0,1.0,0.0,1.0
2009-01-28,1.0,1.0,1.0,0.0,1.0
2009-01-29,1.0,1.0,1.0,0.0,1.0
2009-01-30,1.0,1.0,1.0,1.0,1.0
2009-01-31,1.0,1.0,1.0,1.0,1.0
2009-02-06,1.0,1.0,1.0,1.0,1.0
2009-02-07,1.0,1.0,1.0,1.0,1.0
2009-02-08,1.0,1.0,1.0,1.0,1.0
2009-02-23,1.0,1.0,1.0,1.0,1.0
2009-02-27,1.0,1.0,1.0,1.0,1.0
2009-03-02,1.0,1.0,1.0,0.0,1.0
2009-03-03,1.0,1.0,1.0,0.0,1.0
2009-11-19,1.0,1.0,1.0,1.0,1.0
2009-12-16,1.0,1.0,1.0,1.0,1.0
2010-01-11,1.0,1.0,1.0,0.0,1.0
2010-01-12,1.0,1.0,1.0,0.0,1.0
2010-12-31,1.0,1.0,1.0,1.0,1.0
2012-02-05,1.0,1.0,1.0,1.0,1.0
2012-12-23,1.0,1.0,0.0,1.0,1.0
2013-01-04,1.0,1.0,1.0,1.0,1.0
2013-01-11,1.0,1.0,0.0,1.0,1.0
2013-01-25,1.0,1.0,1.0,0.0,1.0
2013-02-07,1.0,1.0,1.0,0.0,1.0
2013-03-27,1.0,1.0,1.0,0.0,1.0
2013-12-28,1.0,1.0,1.0,1.0,1.0
2014-01-14,1.0,1.0,1.0,0.0,1.0
2014-01-15,1.0,1.0,1.0,0.0,1.0
2014-01-16,1.0,1.0,1.0,1.0,1.0
2014-01-17,1.0,1.0,1.0,1.0,1.0
2014-01-18,1.0,1.0,1.0,1.0,1.0
2014-01-28,1.0,1.0,1.0,0.0,1.0
2014-02-03,1.0,1.0,1.0,1.0,1.0
2014-02-08,1.0,1.0,1.0,0.0,1.0
2014-02-09,1.0,1.0,1.0,0.0,1.0
2014-12-16,1.0,1.0,1.0,0.0,1.0
2015-01-02,1.0,1.0,0.0,1.0,1.0
2015-01-03,1.0,1.0,1.0,1.0,1.0
2015-10-06,1.0,1.0,1.0,0.0,1.0
2015-11-25,1.0,1.0,0.0,1.0,1.0
2015-12-08,1.0,1.0,1.0,0.0,1.0
2015-12-19,1.0,1.0,1.0,0.0,1.0
2015-12-20,1.0,1.0,1.0,0.0,1.0
2015-12-31,1.0,1.0,1.0,1.0,1.0
2016-01-13,1.0,1.0,1.0,1.0,1.0
2016-01-19,1.0,1.0,1.0,1.0,1.0
2016-02-23,1.0,1.0,1.0,0.0,1.0
2017-01-30,1.0,1.0,1.0,0.0,1.0
2017-02-22,1.0,1.0,1.0,0.0,1.0
2018-01-06,1.0,1.0,1.0,1.0,1.0
2018-01-19,1.0,1.0,1.0,1.0,0.0
2018-03-17,1.0,1.0,1.0,0.0,1.0
2019-01-04,1.0,1.0,1.0,1.0,1.0
2019-01-15,1.0,1.0,1.0,0.0,1.0
2019-01-25,1.0,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,0.0,1.0
2019-03-03,1.0,1.0,1.0,0.0,1.0
2019-11-21,1.0,1.0,1.0,0.0,1.0
2019-12-20,1.0,1.0,1.0,1.0,1.0
2019-12-30,1.0,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,1.0,1.0,1.0
2020-01-10,1.0,1.0,1.0,1.0,1.0
2020-01-22,1.0,1.0,1.0,1.0,1.0
2020-01-31,1.0,1.0,1.0,0.0,1.0
2021-01-25,1.0,1.0,1.0,1.0,1.0
2023-03-18,,1.0,,,
2024-02-13,,,,,
2024-02-22,,,,,
2024-02-28,,,,,
2024-03-09,,,,,
2024-12-16,,,,,
2024-12-26,,,,,
2025-01-05,,,,,
2025-01-27,,,,,
2025-02-22,,,,,
2026-01-09,,,,,
2026-01-10,,,,,
2026-01-11,,,,,
2026-01-24,,,,,
2026-01-27,,,,,
2026-02-11,,,,,
2026-02-17,,,,,
